Present,Next_INPUT=X,"Next_INPUT=""하""","Next_INPUT=""좌""","Next_INPUT=""결정(중)""","Next_INPUT=""우""","Next_INPUT=""상"""
,,,,,,
S_R1-D(0:1),,,S_B3-A(111),S_B3-A(211),S_B3-A(311),
S_R1-A(1;1;1),S_R1-A(1;1;1),S_R1-A(1;1;1),S_R1-A(1;1;1),S_RGoal,S_R1-A(1;1;2),S_R1-A(1;1;1)
S_R1-A(1;1;2),S_R1-A(1;1;2),S_R1-A(1;1;2),S_R1-A(1;1;1),S_RGoal,S_R1-A(1;1;3),S_R1-A(1;1;2)
S_R1-A(1;1;3),S_R1-A(1;1;3),S_R1-A(1;1;3),S_R1-A(1;1;2),S_R3-D(1),S_R1-A(1;1;3),S_R1-A(1;1;3)
S_R1-A(2;1;1),S_R1-A(2;1;1),S_R1-A(2;1;1),S_R1-A(2;1;1),S_RGoal,S_R1-A(2;1;2),S_R1-A(2;1;1)
S_R1-A(2;1;2),S_R1-A(2;1;2),S_R1-A(2;1;2),S_R1-A(2;1;1),S_R3-D(1),S_R1-A(2;1;3),S_R1-A(2;1;2)
S_R1-A(2;1;3),S_R1-A(2;1;3),S_R1-A(2;1;3),S_R1-A(2;1;2),S_RGoal,S_R1-A(2;1;3),S_R1-A(2;1;3)
S_R1-A(3;1;1),S_R1-A(3;1;1),S_R1-A(3;1;1),S_R1-A(3;1;1),S_R3-D(1),S_R1-A(3;1;2),S_R1-A(3;1;1)
S_R1-A(3;1;2),S_R1-A(3;1;2),S_R1-A(3;1;2),S_R1-A(3;1;1),S_RGoal,S_R1-A(3;1;3),S_R1-A(3;1;2)
S_R1-A(3;1;3),S_R1-A(3;1;3),S_R1-A(3;1;3),S_R1-A(3;1;2),S_RGoal,S_R1-A(3;1;3),S_R1-A(3;1;3)
S_R2-D(1),S_R2-D(1),S_R2-D(1),S_B2-A(1;1;1),S_B2-A(1;2;1),S_B2-A(1;3;1),S_R2-D(1)
S_R2-D(2),S_R2-D(2),S_R2-D(2),S_B2-A(2;1;1),S_B2-A(2;2;1),S_B2-A(2;3;1),S_R2-D(2)
S_R2-D(3),S_R2-D(3),S_R2-D(3),S_B2-A(3;1;1),S_B2-A(3;2;1),S_B2-A(3;3;1),S_R2-D(3)
S_R2-A(1;1;1),S_R2-A(1;1;1),S_R2-A(1;1;1),S_R2-A(1;1;1),S_B2-D(2),S_R2-A(1;1;2),S_R2-A(1;1;4)
S_R2-A(1;1;2),S_R2-A(1;1;2),S_R2-A(1;1;2),S_R2-A(1;1;1),S_B2-D(3),S_R2-A(1;1;2),S_R2-A(1;1;2)
S_R2-A(1;1;3),S_R2-A(1;1;3),S_R2-A(1;1;3),S_R2-A(1;1;2),S_B1-D(1),S_R2-A(1;1;4),S_R2-A(1;1;1)
S_R2-A(1;1;4),S_R2-A(1;1;4),S_R2-A(1;1;1),S_R2-A(1;1;4),S_B1-D(1),S_R2-A(1;1;4),S_R2-A(1;1;2)
S_R2-A(1;2;1),S_R2-A(1;2;1),S_R2-A(1;2;3),S_R2-A(1;2;1),S_B2-D(1),S_R2-A(1;2;2),S_R2-A(1;2;1)
S_R2-A(1;2;2),S_R2-A(1;2;2),S_R2-A(1;2;4),S_R2-A(1;2;1),S_B2-D(3),S_R2-A(1;2;2),S_R2-A(1;2;2)
S_R2-A(1;2;3),S_R2-A(1;2;3),S_R2-A(1;2;3),S_R2-A(1;2;3),S_B1-D(1),S_R2-A(1;2;4),S_R2-A(1;2;1)
S_R2-A(1;2;4),S_R2-A(1;2;4),S_R2-A(1;2;4),S_R2-A(1;2;3),S_B1-D(1),S_R2-A(1;2;4),S_R2-A(1;2;2)
S_R2-A(1;3;1),S_R2-A(1;3;1),S_R2-A(1;3;3),S_R2-A(1;3;1),S_B2-D(1),S_R2-A(1;3;2),S_R2-A(1;3;1)
S_R2-A(1;3;2),S_R2-A(1;3;2),S_R2-A(1;3;4),S_R2-A(1;3;1),S_B2-D(2),S_R2-A(1;3;2),S_R2-A(1;3;2)
S_R2-A(1;3;3),S_R2-A(1;3;3),S_R2-A(1;3;3),S_R2-A(1;3;3),S_B1-D(1),S_R2-A(1;3;4),S_R2-A(1;3;1)
S_R2-A(1;3;4),S_R2-A(1;3;4),S_R2-A(1;3;4),S_R2-A(1;3;3),"S_R2-D(0,1)",S_R2-A(1;3;4),S_R2-A(1;3;2)
S_R2-A(2;1;1),S_R2-A(2;1;1),S_R2-A(2;1;3),S_R2-A(2;1;1),S_B2-D(2),S_R2-A(2;1;2),S_R2-A(2;1;1)
S_R2-A(2;1;2),S_R2-A(2;1;2),S_R2-A(2;1;4),S_R2-A(2;1;1),S_B2-D(3),S_R2-A(2;1;2),S_R2-A(2;1;2)
S_R2-A(2;1;3),S_R2-A(2;1;3),S_R2-A(2;1;3),S_R2-A(2;1;3),S_B1-D(1),S_R2-A(2;1;4),S_R2-A(2;1;1)
S_R2-A(2;1;4),S_R2-A(2;1;4),S_R2-A(2;1;4),S_R2-A(2;1;3),"S_R2-D(0,2)",S_R2-A(2;1;4),S_R2-A(2;1;2)
S_R2-A(2;2;1),S_R2-A(2;2;1),S_R2-A(2;2;3),S_R2-A(2;2;1),S_B2-D(1),S_R2-A(2;2;2),S_R2-A(2;2;1)
S_R2-A(2;2;2),S_R2-A(2;2;2),S_R2-A(2;2;4),S_R2-A(2;2;1),S_B2-D(3),S_R2-A(2;2;2),S_R2-A(2;2;2)
S_R2-A(2;2;3),S_R2-A(2;2;3),S_R2-A(2;2;3),S_R2-A(2;2;3),"S_R2-D(0,2)",S_R2-A(2;2;4),S_R2-A(2;2;1)
S_R2-A(2;2;4),S_R2-A(2;2;4),S_R2-A(2;2;4),S_R2-A(2;2;3),"S_R2-D(0,2)",S_R2-A(2;2;4),S_R2-A(2;2;2)
S_R2-A(2;3;1),S_R2-A(2;3;1),S_R2-A(2;3;3),S_R2-A(2;3;1),S_B2-D(1),S_R2-A(2;3;2),S_R2-A(2;3;1)
S_R2-A(2;3;2),S_R2-A(2;3;2),S_R2-A(2;3;4),S_R2-A(2;3;1),S_B2-D(2),S_R2-A(2;3;2),S_R2-A(2;3;2)
S_R2-A(2;3;3),S_R2-A(2;3;3),S_R2-A(2;3;3),S_R2-A(2;3;3),S_B2-D(2),S_R2-A(2;3;4),S_R2-A(2;3;1)
S_R2-A(2;3;4),S_R2-A(2;3;4),S_R2-A(2;3;4),S_R2-A(2;3;3),S_B1-D(1),S_R2-A(2;3;4),S_R2-A(2;3;2)
S_R2-A(3;1;1),S_R2-A(3;1;1),S_R2-A(3;1;3),S_R2-A(3;1;1),S_B2-D(2),S_R2-A(3;1;2),S_R2-A(3;1;1)
S_R2-A(3;1;2),S_R2-A(3;1;2),S_R2-A(3;1;4),S_R2-A(3;1;1),S_B2-D(3),S_R2-A(3;1;2),S_R2-A(3;1;2)
S_R2-A(3;1;3),S_R2-A(3;1;3),S_R2-A(3;1;3),S_R2-A(3;1;3),"S_R2-D(0,3)",S_R2-A(3;1;4),S_R2-A(3;1;1)
S_R2-A(3;1;4),S_R2-A(3;1;4),S_R2-A(3;1;4),S_R2-A(3;1;3),S_B1-D(1),S_R2-A(3;1;4),S_R2-A(3;1;2)
S_R2-A(3;2;1),S_R2-A(3;2;1),S_R2-A(3;2;3),S_R2-A(3;2;1),S_B2-D(1),S_R2-A(3;2;2),S_R2-A(3;2;1)
S_R2-A(3;2;2),S_R2-A(3;2;2),S_R2-A(3;2;4),S_R2-A(3;2;1),S_B2-D(3),S_R2-A(3;2;2),S_R2-A(3;2;2)
S_R2-A(3;2;3),S_R2-A(3;2;3),S_R2-A(3;2;3),S_R2-A(3;2;3),S_B1-D(1),S_R2-A(3;2;4),S_R2-A(3;2;1)
S_R2-A(3;2;4),S_R2-A(3;2;4),S_R2-A(3;2;4),S_R2-A(3;2;3),S_B1-D(1),S_R2-A(3;2;4),S_R2-A(3;2;2)
S_R2-A(3;3;1),S_R2-A(3;3;1),S_R2-A(3;3;3),S_R2-A(3;3;1),S_B2-D(1),S_R2-A(3;3;2),S_R2-A(3;3;1)
S_R2-A(3;3;2),S_R2-A(3;3;2),S_R2-A(3;3;4),S_R2-A(3;3;1),S_B2-D(2),S_R2-A(3;3;2),S_R2-A(3;3;2)
S_R2-A(3;3;3),S_R2-A(3;3;3),S_R2-A(3;3;3),S_R2-A(3;3;3),S_B1-D(1),S_R2-A(3;3;4),S_R2-A(3;3;1)
S_R2-A(3;3;4),S_R2-A(3;3;4),S_R2-A(3;3;4),S_R2-A(3;3;3),S_B1-D(1),S_R2-A(3;3;4),S_R2-A(3;3;2)
S_R3-D(1),S_R3-D(1),S_R3-D(1),S_B1-A(1;1;1),S_B1-A(2;1;1),S_B1-A(3;1;1),S_R3-D(1)
S_R3-A(1;1;1),S_R3-A(1;1;1),S_R3-A(1;1;1),S_R3-A(1;1;1),S_B2-D(1),S_R3-A(1;1;2),S_R3-A(1;1;2)
S_R3-A(1;1;2),S_R3-A(1;1;2),S_R3-A(1;1;2),S_R3-A(1;1;1),S_B2-D(2),S_R3-A(1;1;3),S_R3-A(1;1;3)
S_R3-A(1;1;3),S_R3-A(1;1;3),S_R3-A(1;1;3),S_R3-A(1;1;2),S_R1-D(1),S_R3-A(1;1;3),S_R3-A(1;1;3)
S_R3-A(2;1;1),S_R3-A(2;1;1),S_R3-A(2;1;1),S_R3-A(2;1;1),S_B2-D(1),S_R3-A(2;1;2),S_R3-A(2;1;2)
S_R3-A(2;1;2),S_R3-A(2;1;2),S_R3-A(2;1;2),S_R3-A(2;1;1),S_R1-D(1),S_R3-A(2;1;3),S_R3-A(2;1;3)
S_R3-A(2;1;3),S_R3-A(2;1;3),S_R3-A(2;1;3),S_R3-A(2;1;2),S_B2-D(3),S_R3-A(2;1;3),S_R3-A(2;1;3)
S_R3-A(3;1;1),S_R3-A(3;1;1),S_R3-A(3;1;1),S_R3-A(3;1;1),S_R1-D(1),S_R3-A(3;1;2),S_R3-A(3;1;2)
S_R3-A(3;1;2),S_R3-A(3;1;2),S_R3-A(3;1;2),S_R3-A(3;1;1),S_B2-D(2),S_R3-A(3;1;3),S_R3-A(3;1;3)
S_R3-A(3;1;3),S_R3-A(3;1;3),S_R3-A(3;1;3),S_R3-A(3;1;2),S_B2-D(3),S_R3-A(3;1;3),S_R3-A(3;1;3)
S_RGoal,S_RGoal,S_RGoal,S_RGoal,S_R2-D2(2),S_RGoal,S_RGoal
S_BGoal,S_BGoal,S_BGoal,S_BGoal,S_B2-D2(2),S_BGoal,S_BGoal
